Topic,BM25_MAP,JM_LM_MAP,My_PRM_MAP,BM25_Precision@10,JM_LM_Precision@10,My_PRM_Precision@10,BM25_DCG@10,JM_LM_DCG@10,My_PRM_DCG@10
R135,0.45889382901069725,0.6455157368057826,0.38098574101922467,0.4,0.6,0.3,1.2940702235449721,2.990484620363732,0.9727020595577323
R136,0.21333655083655081,0.2541051875755823,0.22778419175477999,0.2,0.1,0.3,0.6343633289973145,0.6309297535714575,1.0092509668857628
R137,0.9166666666666666,0.7000000000000001,0.8095238095238094,0.3,0.3,0.3,2.0616063116448506,1.8175293653079347,1.9642630869047908
R138,0.06570498912302394,0.6313775510204082,0.1321309696387877,0.0,0.4,0.2,0.0,2.4642630869047912,0.6487982101190621
R139,0.2760942760942761,0.6555555555555556,0.24107142857142858,0.2,0.3,0.2,0.8010299956639813,1.7890648263178879,0.7640098914067264
R140,0.8121073371073372,0.46978862285123635,0.6765986937039569,0.7,0.5,0.9,3.582822447876707,2.4076241872898034,3.543559338088346
R141,0.41385695463265687,0.6574353536875627,0.7395772794895028,0.4,0.7,1.0,1.3595548667922737,3.398287324662436,4.543559338088346
R142,0.15833333333333333,0.26074016563146996,0.14545454545454545,0.1,0.2,0.1,0.2890648263178879,0.8333333333333333,0.2890648263178879
R143,0.16230158730158728,0.11468253968253968,0.09511418813744396,0.2,0.0,0.0,0.6895405204413555,0.0,0.0
R144,0.21143836021029006,0.347736502627807,0.12931645993497087,0.1,0.3,0.1,0.6309297535714575,1.2797279636905197,0.3010299956639812
R145,0.24877649769585256,0.24965249532651207,0.03985525477705605,0.1,0.1,0.0,1.0,1.0,0.0
R146,0.3309352291779347,0.3663787067633221,0.3301275377740093,0.1,0.2,0.1,0.5,0.7890648263178879,0.3562071871080222
R147,0.15511633428300095,0.6021164021164022,0.2593370681605976,0.0,0.3,0.3,0.0,2.1309297535714578,0.9498282057830434
R148,0.40122347672012276,0.3297126273422713,0.4249127089743125,0.3,0.1,0.3,1.2461414348591218,0.2890648263178879,1.9319597492354388
R149,0.18913419913419913,0.19159244264507422,0.1879120879120879,0.0,0.1,0.1,0.0,0.2890648263178879,0.3010299956639812
R150,0.38749999999999996,0.36471861471861466,0.2964285714285714,0.4,0.3,0.4,1.4628013787338447,1.1895405204413554,1.2796353424232245
,0.3591981132368771,0.47376799063530406,0.3589627861496614,0.264,0.3600000000000001,0.29200000000000004,1.1940979079390284,1.7967374642456742,1.242929045191535
